,index,Aboard,Fatalities,Ground
4981,4981,7.0,7.0,0.0
4982,4982,7.0,7.0,0.0
4983,4983,7.0,3.0,0.0
4984,4984,10.0,6.0,0.0
4985,4985,7.0,7.0,0.0
4986,4986,33.0,33.0,0.0
4987,4987,12.0,1.0,0.0
4988,4988,7.0,7.0,0.0
4989,4989,2.0,2.0,0.0
4990,4990,3.0,3.0,0.0
4991,4991,30.0,19.0,0.0
4992,4992,4.0,4.0,0.0
4993,4993,24.0,24.0,0.0
4994,4994,6.0,6.0,1.0
4995,4995,2.0,2.0,0.0
4996,4996,11.0,6.0,0.0
4997,4997,3.0,2.0,0.0
4998,4998,2.0,1.0,0.0
4999,4999,2.0,2.0,0.0
5000,5000,3.0,3.0,0.0
5001,5001,25.0,25.0,0.0
5002,5002,46.0,46.0,0.0
5003,5003,41.0,41.0,0.0
5004,5004,3.0,1.0,0.0
5005,5005,2.0,2.0,0.0
5006,5006,17.0,17.0,0.0
5007,5007,1.0,1.0,0.0
5008,5008,4.0,4.0,0.0
5009,5009,3.0,3.0,0.0
5010,5010,6.0,6.0,0.0
5011,5011,2.0,2.0,0.0
5012,5012,7.0,7.0,0.0
5013,5013,3.0,3.0,0.0
5014,5014,2.0,2.0,0.0
5015,5015,15.0,13.0,0.0
5016,5016,10.0,10.0,0.0
5017,5017,5.0,5.0,0.0
5018,5018,21.0,3.0,0.0
5019,5019,53.0,53.0,0.0
5020,5020,6.0,3.0,0.0
5021,5021,154.0,26.0,0.0
5022,5022,2.0,2.0,0.0
5023,5023,2.0,2.0,0.0
5024,5024,6.0,6.0,0.0
5025,5025,16.0,16.0,0.0
5026,5026,2.0,2.0,1.0
5027,5027,7.0,1.0,0.0
5028,5028,20.0,20.0,0.0
5029,5029,9.0,9.0,0.0
5030,5030,1.0,1.0,0.0
5031,5031,31.0,31.0,0.0
5032,5032,2.0,2.0,0.0
5033,5033,10.0,10.0,0.0
5034,5034,104.0,104.0,0.0
5035,5035,7.0,7.0,0.0
5036,5036,2.0,2.0,0.0
5037,5037,8.0,8.0,0.0
5038,5038,13.0,2.0,0.0
5039,5039,18.0,15.0,0.0
5040,5040,2.0,2.0,0.0
5041,5041,2.0,2.0,0.0
5042,5042,52.0,28.0,0.0
5043,5043,8.0,8.0,0.0
5044,5044,14.0,8.0,0.0
5045,5045,9.0,9.0,0.0
5046,5046,18.0,18.0,0.0
5047,5047,169.0,3.0,0.0
5048,5048,13.0,13.0,0.0
5049,5049,2.0,2.0,0.0
5050,5050,11.0,10.0,0.0
5051,5051,15.0,15.0,0.0
5052,5052,10.0,10.0,0.0
5053,5053,13.0,13.0,0.0
5054,5054,27.0,27.0,0.0
5055,5055,42.0,7.0,0.0
5056,5056,60.0,60.0,0.0
5057,5057,309.0,0.0,0.0
5058,5058,39.0,16.0,0.0
5059,5059,14.0,14.0,0.0
5060,5060,121.0,121.0,0.0
5061,5061,160.0,160.0,0.0
5062,5062,98.0,40.0,0.0
5063,5063,11.0,11.0,0.0
5064,5064,117.0,99.0,44.0
5065,5065,14.0,14.0,0.0
5066,5066,2.0,2.0,0.0
5067,5067,4.0,4.0,0.0
5068,5068,6.0,4.0,0.0
5069,5069,100.0,2.0,0.0
5070,5070,1.0,1.0,0.0
5071,5071,117.0,117.0,0.0
5072,5072,8.0,8.0,0.0
5073,5073,94.0,94.0,14.0
5074,5074,103.0,0.0,1.0
5075,5075,109.0,108.0,0.0
5076,5076,20.0,20.0,0.0
5077,5077,23.0,23.0,0.0
5078,5078,12.0,12.0,0.0
5079,5079,2.0,2.0,0.0
5080,5080,3.0,3.0,0.0
5081,5081,6.0,6.0,0.0
5082,5082,11.0,11.0,0.0
